alpha,energy
8.4,-10.35527052
8.41,-10.37392592
8.42,-10.39260107
8.43,-10.41129598
8.44,-10.43001066
8.45,-10.4487451
8.46,-10.46749933
8.47,-10.48627333
8.48,-10.50506713
8.49,-10.52388073
8.5,-10.54271413
8.51,-10.56156734
8.52,-10.58044037
8.53,-10.59933322
8.54,-10.6182459
8.55,-10.63717841
8.56,-10.65613077
8.57,-10.67510298
8.58,-10.69409504
8.59,-10.71310696
8.6,-10.73213875
8.61,-10.75119041
8.62,-10.77026195
8.63,-10.78935337
8.64,-10.80846468
8.65,-10.82759589
8.66,-10.846747
8.67,-10.86591802
8.68,-10.88510895
8.69,-10.9043198
8.7,-10.92355058
8.71,-10.94280128
8.72,-10.96207192
8.73,-10.9813625
8.74,-11.00067303
8.75,-11.02000351
8.76,-11.03935394
8.77,-11.05872434
8.78,-11.07811471
8.79,-11.09752504
8.8,-11.11695536
8.81,-11.13640566
8.82,-11.15587595
8.83,-11.17536623
8.84,-11.19487651
8.85,-11.2144068
8.86,-11.23395709
8.87,-11.2535274
8.88,-11.27311773
8.89,-11.29272808
8.9,-11.31235845
8.91,-11.33200887
8.92,-11.35167932
8.93,-11.37136981
8.94,-11.39108035
8.95,-11.41081094
8.96,-11.43056159
8.97,-11.4503323
8.98,-11.47012307
8.99,-11.48993392
9,-11.50976484
9.01,-11.52961584
9.02,-11.54948693
9.03,-11.5693781
9.04,-11.58928937
9.05,-11.60922074
9.06,-11.6291722
9.07,-11.64914378
9.08,-11.66913546
9.09,-11.68914726
9.1,-11.70917918
9.11,-11.72923122
9.12,-11.74930338
9.13,-11.76939568
9.14,-11.78950812
9.15,-11.80964069
9.16,-11.82979341
9.17,-11.84996628
9.18,-11.87015929
9.19,-11.89037247
9.2,-11.9106058
9.21,-11.9308593
9.22,-11.95113296
9.23,-11.9714268
9.24,-11.99174081
9.25,-12.012075
9.26,-12.03242938
9.27,-12.05280394
9.28,-12.07319869
9.29,-12.09361364
9.3,-12.11404879
9.31,-12.13450414
9.32,-12.15497969
9.33,-12.17547545
9.34,-12.19599143
9.35,-12.21652762
9.36,-12.23708403
9.37,-12.25766066
9.38,-12.27825753
9.39,-12.29887462
9.4,-12.31951195
9.41,-12.34016951
9.42,-12.36084732
9.43,-12.38154537
9.44,-12.40226367
9.45,-12.42300222
9.46,-12.44376103
9.47,-12.46454009
9.48,-12.48533942
9.49,-12.50615901
9.5,-12.52699886
9.51,-12.54785899
9.52,-12.5687394
9.53,-12.58964008
9.54,-12.61056104
9.55,-12.63150229
9.56,-12.65246382
9.57,-12.67344565
9.58,-12.69444777
9.59,-12.71547018
9.6,-12.7365129
9.61,-12.75757592
9.62,-12.77865924
9.63,-12.79976288
9.64,-12.82088682
9.65,-12.84203108
9.66,-12.86319566
9.67,-12.88438056
9.68,-12.90558579
9.69,-12.92681134
9.7,-12.94805722
9.71,-12.96932344
9.72,-12.99060999
9.73,-13.01191688
9.74,-13.03324411
9.75,-13.05459168
9.76,-13.0759596
9.77,-13.09734787
9.78,-13.1187565
9.79,-13.14018548
9.8,-13.16163482
9.81,-13.18310452
9.82,-13.20459458
9.83,-13.22610501
9.84,-13.24763581
9.85,-13.26918698
9.86,-13.29075853
9.87,-13.31235045
9.88,-13.33396275
9.89,-13.35559544
9.9,-13.37724851
9.91,-13.39892196
9.92,-13.42061581
9.93,-13.44233005
9.94,-13.46406469
9.95,-13.48581973
9.96,-13.50759516
9.97,-13.529391
9.98,-13.55120724
9.99,-13.57304389
10,-13.59490095
